# skip: est, cours, sort, a, mets	the top-3,000 entry with this spelling is an unrelated word
au printemps	in spring
faisons	let's do, are doing, let's take
une fois	once
natation	swim
danse	am dancing, is dancing, dances
à côté de	next to, beside
détendu	relaxed
basket	basketball
après	after
par	through, with, out
céréales	cereal
fait	is, makes, made
encore	yet, even, again
œuf	egg
brouillé	crossed
met	puts on, wears, puts
boit	is drinking, drinks
de l'	of the, about, (no translation)
jus	juice
le matin	in the morning
pomme	apple
de la	of the, for the, 's
avec plaisir	with pleasure
frigo	fridge
confiture	jam
mets	put, put on, am putting
pain	bread
beurre	butter
miel	honey
jus d'orange	orange juice
bois	drink, are drinking, drinks
lait	milk
automne	fall, autumn
rivière	river, stream's
poisson	fish
pêcher	fish, to catch
saison	season
hiver	winter, winter's
différent	different, diverse
animal de compagnie	pet
connaissent	know
printemps	spring
blanche	blank, white, sleepless
fleur	flower
connaît	knows, know
blanc	blank, white, blanc
nom	name, last name, name's
été	been, summer, summertime
gentille	kind
cheval	horse, horsey
animal	animal
écharpe	scarf
désolé	sorry
chérie	darling, sweetheart
chaussette	sock
chéri	sweetheart, darling, love
regarde	am watching, look at, look
seulement	only
mauvais	bad, wrong
truc	thing
couleur	color
taille	height, size
même	even, same
pantalons	pants
toutes	all, entire, all of
aide	am helping, helps, helping
question	question
beaucoup de	a lot of, much, many
depuis	since, ever since, for
tous	all
onze	eleven
an	year, year's
minuit	midnight
serveur	server, waiter, waiter's
soirée	party, evening, evenings
serveuse	waitress, server, waiter's
bar	bar, bar's, café's
dors	sleeping, sleep, are sleeping
surfer	surf, surfing, surfs
midi	noon
plage	beach
jusqu'à	up to, until, to
combien de	how many
mercredi	Wednesday, on Wednesday
mardi	Tuesday, mardi
jour	day
être	to be, let's, would've
en vacances	on vacation, On vacation
pars	are leaving, leave, leaving
eux	themselves, them, they
lundi	Monday, on Monday
partez	are leaving, leave, leaving
gentil	kind
pourquoi pas	why not
semaine	week
venez	come, are coming
prochain	next, upcoming
tard	late
dimanche	on Sunday, Sunday, sunday's
après-midi	afternoon
rentrer	go back, go home to, go home
train	train
en ville	in the city
lui	it, to her, to him
du temps	some time
samedi	on Saturday, Saturday, saturday's
musée	musée, museum's, museum
moi	me, myself, I
faites	made, packed, are doing
village	village
église	church, church's
visiter	visiting, to visit, visit
allez	are going, go, come on
fais	am making, are doing, done
toi	you, yourself
à la campagne	countryside
vendredi	Friday, on Friday, friday's
en fait	actually
arrête	stop
vrai	true, real
blague	joke, kidding, prank
triste	sad, sadder
lunettes	glasses
quelle	which
blond	blond
actrice	actress
chanteuse	singer, singer's
chanteur	singer, singer's
quel	what
à droite de	to the right of
arbre	tree, tree's
entrer	go in, enter, let's
vois	are seeing, see, am seeing
à gauche de	to the left of, on the left of, left of
homme	man, men's
hôtel	hotel, hôtel, hotel's
acteur	actor, actor's
célèbre	famous
ça fait	... have been, ... has been
prenez	are getting, are having, getting
ticket de caisse	receipt
gratuit	free
en promotion	on sale
combien	how much
vingt	twenty
centime	pennies, cent, centimes
coûter	cost, costing
ça	this, that, it'll
prends	am getting, are having, getting
choix	choice
autres	other ones, others, other
musique	music, music's
groupe	band, group, band's
album	album, volume
voudrait	would like, would want
cet	this, that
auteur	author, writer's
roman	novel, novel's
bof	meh
bizarre	weird, strange, weirder
vêtement	garment, item of clothing
jupe	skirt
vieille	old
moche	ugly
chaussure	shoe
cette	this, that, th
veste	jacket
longue	long, stretch
gris	gray
essayer	attempting, try, to try
ces	these, those, this
porter	wearing, carrying, wear
t-shirt	T-shirt
long	long
pantalon	pants
vieux	old
ce	she, this, that
court	run, jogs, is running
besoin de	need
chut	shush, shh, shhh
sommeil	sleepy
tout le monde	everyone
tablette	tablet, tablet's
durer	run, last, runs
oh là là	Oh dear
bientôt	soon
couverture	blanket, cover
faim	hungry
vendez	sell, are selling
bonbon	piece of candy, candy, candy's
pilote	pilot
steward	steward, flight attendant, attendant's
soif	thirsty
vend	sell
bouteille	bottle
pétillant	fizzy, sparkling, dancing
hôtesse	hostess, attendant, host
attends	am waiting for, waiting, am waiting
sans	without a, without, without an
as	feel, have, ve
vol	theft, robbery, flight
climatisation	air conditioning, conditioning
peux	am able to, can, are able to
dommage	shame
occupé	in use, busy, busier
sors	get out, leave, are coming out
film	movie, film, movie's
cinéma	film's, movie theater, cinema
concert	concert
yoga	yoga
sportif	athletic, sporting
matin	morning
sportive	athletic, sports
télé	TV
détester	(to) hate, (to) detest, detest
nulle	bad
nul	bad, lousy
soir	night, evening, evenings
série	TV series, series, set
on	let's, we, they
tous les	every
sort	go out
sortez	go out, get out, take out
et moi	and me
week-end	weekend
ballon	ball, balloon
joueur	player
joueuse	player
chère	expensive, dear
bière	beer
équipe	team's, team, team's
jouer	acting, playing, play
cher	expensive, expensively
acheter	buy, get, buying
stade	stadium
foot	soccer
sport	sports, exercise, sport
préférer	prefer, to prefer
populaire	popular, people's
à la télé	on TV
rugby	rugby
aimer	like, (to) love, (to) like
match	match, game
apprend	learns, is studying, learn
comprend	includes, understand, include
sympa	nice
prof	instructor, teacher, professor
sept	seven
géographie	geography
difficile	difficult, challenging, hard
tout	all
neuf	nine
comprends	understand
apprends	are studying, are learning, hear
leçon	lesson
cours	class
maths	math
à quelle heure	what time
n'	do not, don't, didn't
huit	eight
à la maison	at home
cahier	notebook
ne	do not, won't, don't
vacances	holiday
famille	family, famille, family's
passer	spent, to be, shown
génial	great, fantastic, great—it's
viennent	come, are coming
parent	parent, parry, fend off
d'où	from where
viens	come, are coming, am coming
langue	language, tongue
plusieurs	several
comme	as, such, like
du	week's, city's, country's
vient	is coming, coming, come
demain	tomorrow
vont	are going to, are going, going
bonne nuit	good night
ce soir	tonight
lit	reads, is reading, bed
papa	dad
dîner	dinner, to have dinner, dinner's
cuisiner	to cook, cooking, cook
supermarché	supermarket
légume	vegetable
va	fits, suit, go
avec qui	with whom
nager	swimming, swim, to swim
piscine	pool, swimming pool
maman	Mom
vais	am going, go, am going to
à plus tard	see you later
travail	work, d'oeuvre, essay's
vas	going, are going to, go
froid	cold
petit déjeuner	breakfast
quelqu'un	someone, somebody, anybody
ingénieure	engineer
ingénieur	engineer, engineering
docteure	doctor
docteur	doctor, dr.
hôpital	hospital
connaissons	know
avocat	lawyer, avocado, avocado's
avocate	lawyer, attorney, solicitor
métier	occupation
notre	our
au	for the, in the, at the
entreprise	business, company, business's
canadien	Canadian, canada's
beaucoup	a lot
connaissez	know
autre	other, another, changed
voulons	want, want to
glace	ice cream
voulez	want
enfin	finally
loin de	far from
perdu	wasted, lost, perdu
quand	when
dix	ten
heure	time, o'clock, hour
minute	minute
sommes	are, re
sommes perdus	got lost
je ne sais pas	know
plan	plan's, map, front
regarder	looking at, watching, looked
à l'hôtel	at the hotel
êtes	are
gare	park, parks, station
bonne soirée	good evening
vraiment	really
merci pour	thank you for
eau	water, water's, stream's
limonade	sparkling lemonade
part	departs, slice, go
belle	law's, good-looking, beautiful
surprise	surprise, surprised
nouvelle	new, piece of news, news
juste	just
beau	law's, good-looking, handsome
vélo	bike
nouveau	new
quoi	what
peut-être	maybe
veut	wants, want
anniversaire	anniversary, birthday, birthday's
idée	idea, thought
miam	yum
bon appétit	enjoy your meal
dessert	dessert
excellent	excellent, great—it's
serviette	napkin, towel
de rien	you're welcome
veux	want
fourchette	fork, wishbone, frog
chaud	hot, warm, scorching
invité	invite, invited, guest
tasse	cup, mug
fragile	fragile
laver	to wash, wash
sont	feel, are, is
mince	darn
les	your, the, they
sale	dirty
verre	drink, glass
s'il te plaît	please
placard	closet, cupboard, cabinet
farine	flour
couteau	knife
sucre	sugar
enfant	kid, child, junior's
lac	lake
près de	near, next to
elles	hers, they, them
ont	get, have, they've
cousine	cousin's, cousin, cousin's
ils	they
mes	one's, my, mia's
en	at, of, made out of
cousin	cousin's, cousin, cousin's
capitale	capital, capital's
européen	European
connais	know
pays	country's, countries, country
adorer	love, to love
ça coûte	does this cost, this costs
bonne journée	have a good day
six	six
en espèces	in cash
quatre	four
cinq	five
combien ça coûte	how much does it cost, how much is it, what does it cost
euro	euro, euros
au chocolat	chocolate
trois	three
brioche	brioche
crêpe	crepe, pancake
au café	at the café
des	city's, france's, any
avez	have, get
macaron	macaron
deux	two
baguette	wand, baguette, rods
avons	get, have, we've
réunion	meeting
important	important
parfois	sometimes
brésilien	Brazilian
cheffe	boss
discuter	to discuss
chef	boss
végétarien	vegetarian
cafétéria	cafeteria
pizza	pizza, pizza's
rester	to stay
bon	well, right, tasty
ensemble	together
nous	we, ourselves, to us
pendant	while, for, throughout
pause	break
salade	salad, salad's
en général	in general
repas	meal
préparer	produced, making, make
collègue	colleague
déjeuner	to have lunch
bon voyage	have a good trip
merci beaucoup	thank you very much
par carte	by card
payer	to pay
à l'heure	on time
votre	your, one's
arriver	to arrive
avion	plane
vous allez à	you go to, you are going to, you will go to
seul	alone
voyager	to travel
bonsoir	good evening
vous	please, you, yourself
aéroport	airport
déjà	already
je vais à	I am going to
passeport	passport
chercher	to look for
billet	ticket
a	get, gets, have
trop	too
fort	strong, stronger, hardest
chanter	to sing
sur	off, at, on
l'	with, her, the
joyeux anniversaire	happy birthday
amie	friend, friend's, girlfriend's
assiette	plate
grand-mère	grandma's, grandmother, grandmother's
d'	any, with, for
grand-père	grandfather, grandpa
qui	who
danser	to dance
chez	to X's place, friend's, to X's house
ami	friend
fête	party
j'	I
ai	feel, have, ve
cadeau	gift
apporter	to bring
gâteau	cake
chambre	rooms', bedroom's, room
pourquoi	why
devant	in front of
porte	door
cassé	broken
ouf	phew
station de métro	subway station
loin	far away
appartement	apartment
fatigué	tired
pressé	in a hurry
magasin	store
vendeur	salesman
fermé	closed
près d'ici	near here
la	bob's, your, her
boulangerie	bakery
ouvert	open
vendeuse	salesperson, sales associate, vendor's
le	your, her, the
bus	bus
voilà	there's
aujourd'hui	today, now's
chauffeur	driver
elle s'appelle	her name is, she is called, she calls herself
à demain	see you tomorrow
étudiante	student, a student, student's
professeure	teacher, professor
il s'appelle	his name is, he is called, he calls himself
professeur	professor
étudiant	student, student's
j'étudie	I study, I am studying, I do study
ville	city, town
comment	how, how can you, what
s'appelle	is called, calls oneself, named
université	university
stylo	pen
étudier	to study
livre	book
arabe	Arabic
italien	Italian
chinois	Chinese
manger	eating, to have, have
école	school
tous les jours	every day
là-bas	over there
banque	bank
voisine	neighbor, neighbor's
souvent	often
marcher	to walk
parc	park
calme	calm
c'est	she is, this is, that is
propre	clean
quartier	neighborhood
rue	street
tu connais	know
aussi	too
cool	cool
voisin	neighbor
marocain	Moroccan
toi aussi	you too
restaurant	restaurant, restaurant's
bureau	office
portugais	Portuguese
habiter	live, to live, living
copine	girlfriend, friend, friend's
parler	to speak
travailler	to work
j'habite	I live, I reside, I dwell
copain	boyfriend's, friend, boyfriend
ça va bien	Are you doing well?, I am doing well
comment tu t'appelles	what is your name, what's your name, how do you call yourself
bienvenue	welcome
pardon	sorry
salut	hi
pour	for
chat	cat
chien	dog
il y a	there is
j'adore	I love, I adore, I really like
chaise	chair
plante	plant
ta	your
parce qu'elle	because she
cuisine	kitchen
table	table
adore	love
ton	your
parce qu'il	because he, because it, since he
salon	living room
canapé	couch
joli	pretty
petit	small
parce que	because
jardin	yard
maison	house
grand	big
content	happy, pleased, glad
vite	quick
suis	am, feel, follow
on y va	let's go
voiture	car
taxi	taxi, taxi's
en retard	late
un peu	a little
es	feel, have been, are
tu	you
prêt	ready
rapide	fast, quickest
attention	careful, attention, be careful
ah	ah, oh, ha
portefeuille	wallet
valise	suitcase
chargeur	charger
lourd	heavy, softer
excuse-moi	Excuse me
ici	here
clé	key
poche	pocket
où	where
dans	in
portable	cell phone
sac	bag
avec moi	with me
japonais	Japanese
tu parles	Yeah, right
intelligent	intelligent, smart
espagnol	Spanish
mari	husband
parle	talking, am talking, is talking
français	French
anglais	English
femme	woman, f., wife
mon	one's, my, mia's
allemand	German
père	father
ma	one's, ma, my
mère	mother
américain	American
mexicain	Mexican
super	great
ceinture	belt
noir	black
bleu	blue, bruise
avec	with
cravate	tie
pull	sweater
vert	green
vous cherchez	looking
d'accord	okay
robe	dress
chemise	shirt
excusez-moi	sorry
je cherche	I'm looking for
chapeau	hat
manteau	coat
pas du tout	not at all
mais	but
mon frère	my brother
mon fils	mon fils
ma tante	my aunt
toujours	always
intéressant	interesting
très	very
ma nièce	my niece
ma sœur	my sister
elle	she
est	is, has been, east
bien sûr	of course
il	he
méchant	mean
amusant	funny
il vient	he comes
il habite	he lives
neveu	nephew
nièce	niece
à	group's, country's, with
elle habite	she lives
maintenant	now
oncle	uncle
tante	aunt
de	president's, country's, book's
une	an, a, one
elle vient	she comes
j'ai	I have, I did, I have had
fille	daughter
sœur	sister
fils	son
tu as	you've
oh	oh, aw, ooh
frère	brother
tu viens de	you are from
tu viens d'où	where are you from, where do you come from, where do you come
à bientôt	see you soon
viens de	come from, have just
moi aussi	me too
je	I
et toi	and you
je m'appelle	my name is, I am called, I call myself
bien	good
ça va	how are you?, it's going to, I am fine
enchanté	nice to meet you
au revoir	goodbye
parfait	perfect
ou	or
monsieur	sir
non	no
sandwich	sandwich
merci	thank you
et	and
oui	yes
je voudrais	I'd like
éclair	eclair, éclairs
croissant	croissant, crescent roll
s'il vous plaît	please
bonjour	hello
un	an, a, one
madame	ma'am, Mrs., Madam
café	coffee
thé	tea
